id,path,label_fake,label_real
RUNQPNJF,./train/RUNQPNJF.ogg,0.0,1.0
JFAWUOGJ,./train/JFAWUOGJ.ogg,1.0,0.0
RDKEKEVX,./train/RDKEKEVX.ogg,0.0,1.0
QYHJDOFK,./train/QYHJDOFK.ogg,0.0,1.0
RSPQNHAO,./train/RSPQNHAO.ogg,0.0,1.0
WJRTCPVX,./train/WJRTCPVX.ogg,1.0,0.0
ICDBLWYI,./train/ICDBLWYI.ogg,0.0,1.0
ZWPWYAIZ,./train/ZWPWYAIZ.ogg,1.0,0.0
QGNUXBKY,./train/QGNUXBKY.ogg,1.0,0.0
FRUWZOVC,./train/FRUWZOVC.ogg,1.0,0.0
ZLTALTYO,./train/ZLTALTYO.ogg,1.0,0.0
QFUNNXQT,./train/QFUNNXQT.ogg,1.0,0.0
NJOYOMQV,./train/NJOYOMQV.ogg,1.0,0.0
VCOXBYYG,./train/VCOXBYYG.ogg,0.0,1.0
LYTCTGRJ,./train/LYTCTGRJ.ogg,1.0,0.0
CEQFAVNQ,./train/CEQFAVNQ.ogg,0.0,1.0
RBOJKPRL,./train/RBOJKPRL.ogg,0.0,1.0
IDWRJSQN,./train/IDWRJSQN.ogg,1.0,0.0
JCSXTNWR,./train/JCSXTNWR.ogg,1.0,0.0
JCPMWQOS,./train/JCPMWQOS.ogg,1.0,0.0
RKQUSJGN,./train/RKQUSJGN.ogg,1.0,0.0
WDPCFDWX,./train/WDPCFDWX.ogg,1.0,0.0
KWXWMDQK,./train/KWXWMDQK.ogg,0.0,1.0
RIVPTIUG,./train/RIVPTIUG.ogg,0.0,1.0
AWEKWKVM,./train/AWEKWKVM.ogg,1.0,0.0
VXRFNWTC,./train/VXRFNWTC.ogg,1.0,0.0
EMXMVHHN,./train/EMXMVHHN.ogg,1.0,0.0
HHXDEAWG,./train/HHXDEAWG.ogg,0.0,1.0
VEKUNVOL,./train/VEKUNVOL.ogg,0.0,1.0
DUGQFOCW,./train/DUGQFOCW.ogg,0.0,1.0
IPTLQVGU,./train/IPTLQVGU.ogg,0.0,1.0
CNHKZJVI,./train/CNHKZJVI.ogg,0.0,1.0
GFGAWROI,./train/GFGAWROI.ogg,0.0,1.0
RKCWJJIM,./train/RKCWJJIM.ogg,1.0,0.0
WXTDXJYB,./train/WXTDXJYB.ogg,0.0,1.0
OLKZLSQZ,./train/OLKZLSQZ.ogg,0.0,1.0
OTWXFNSO,./train/OTWXFNSO.ogg,1.0,0.0
LRPCTTTR,./train/LRPCTTTR.ogg,1.0,0.0
CQPEHFML,./train/CQPEHFML.ogg,1.0,0.0
SZQZUAYE,./train/SZQZUAYE.ogg,0.0,1.0
NAPYTZSO,./train/NAPYTZSO.ogg,0.0,1.0
MDEQEPFV,./train/MDEQEPFV.ogg,1.0,0.0
AMOVMKHW,./train/AMOVMKHW.ogg,1.0,0.0
JFLMKRAU,./train/JFLMKRAU.ogg,1.0,0.0
KDLMMZNV,./train/KDLMMZNV.ogg,0.0,1.0
IGBDEZWR,./train/IGBDEZWR.ogg,1.0,0.0
HKFVWOIR,./train/HKFVWOIR.ogg,1.0,0.0
TRPMKLER,./train/TRPMKLER.ogg,1.0,0.0
CTSZQBDP,./train/CTSZQBDP.ogg,0.0,1.0
VWNPRMMP,./train/VWNPRMMP.ogg,1.0,0.0
DMDVEACR,./train/DMDVEACR.ogg,1.0,0.0
XEEYGMEM,./train/XEEYGMEM.ogg,0.0,1.0
MCVEOQUV,./train/MCVEOQUV.ogg,1.0,0.0
SLADBRFZ,./train/SLADBRFZ.ogg,1.0,0.0
HNJCYNPW,./train/HNJCYNPW.ogg,0.0,1.0
PTSASGSH,./train/PTSASGSH.ogg,1.0,0.0
QJOMRQGH,./train/QJOMRQGH.ogg,1.0,0.0
NPYYNKLW,./train/NPYYNKLW.ogg,1.0,0.0
XVYSVGZO,./train/XVYSVGZO.ogg,0.0,1.0
YCTVGGXO,./train/YCTVGGXO.ogg,1.0,0.0
QYZJWFGW,./train/QYZJWFGW.ogg,0.0,1.0
QQANGEIP,./train/QQANGEIP.ogg,1.0,0.0
VUFXATFZ,./train/VUFXATFZ.ogg,0.0,1.0
CZGNMUYX,./train/CZGNMUYX.ogg,0.0,1.0
FDFVKKIW,./train/FDFVKKIW.ogg,0.0,1.0
CFTDTTWV,./train/CFTDTTWV.ogg,1.0,0.0
BUSQUDYF,./train/BUSQUDYF.ogg,0.0,1.0
LXGBCTTD,./train/LXGBCTTD.ogg,1.0,0.0
UGBJCTEY,./train/UGBJCTEY.ogg,0.0,1.0
KLSMMUYZ,./train/KLSMMUYZ.ogg,1.0,0.0
MGWOWPBH,./train/MGWOWPBH.ogg,1.0,0.0
GLVPNCRC,./train/GLVPNCRC.ogg,0.0,1.0
RWUSPUZQ,./train/RWUSPUZQ.ogg,0.0,1.0
EHHREOQJ,./train/EHHREOQJ.ogg,0.0,1.0
